inp,100,300,500,700,900,1100,1300,1500,1700,1900
76,7.16,6.77,7.16,7.16,6.58,6.67,6.1,6.58,6.1,6.58
77,2.82,3.95,3.94,3.98,3.98,3.94,3.95,6.85,6.82,3.94
78,4.84,2.65,3.04,4.33,4.59,1.86,1.86,2.48,3.97,2.45
79,1.72,4.08,1.28,2.15,1.54,1.28,2.02,1.72,1.72,1.58
80,2.35,2.43,2.17,2.44,3.95,2.65,3.06,2.17,2.89,2.35
81,3.92,3.43,3.8,3.32,4.32,3.35,3.43,3.89,5.4,2.82
82,3.66,3.22,3.52,3.48,3.61,3.23,3.45,3.39,3.06,5.82
83,1.27,1.27,3.21,1.46,3.89,1.74,2.07,3.21,3.11,1.27
84,4.83,1.74,2.59,1.48,1.29,1.29,3.77,4.44,3.38,1.62
85,6.85,8.11,7.17,6.42,6.49,6.72,7.17,6.37,1.29,6.78
86,7.16,6.37,6.39,6.21,8.1,7.34,8.1,8.1,3.22,6.39
87,5.95,6.1,3.02,4.24,4.96,5.09,4.59,3.2,6.39,5.49
88,2.97,1.95,2.23,5.01,5.78,2.23,6.51,6.34,5.09,2.56
89,2.08,5.5,1.29,9.42,5.52,1.48,9.45,9.34,5.2,5.23
90,1.93,1.93,3.96,1.47,1.93,1.93,1.47,1.47,1.47,1.47
91,5.37,5.57,4.58,5.58,6.34,5.57,4.59,5.04,4.78,4.89
92,4.29,5.17,5.16,4.08,5.15,4.27,5.14,4.94,4.94,5.15
93,7.94,8.06,7.43,7.65,8.31,8.67,8.51,7.42,8.23,7.35
94,5.52,4.4,3.98,5.25,3.9,5.02,5.1,4.42,7.1,6.98
95,2.3,2.69,1.26,2.07,1.26,1.26,2.05,1.26,1.72,2.16
96,7.58,7.65,7.22,6.6,7.34,7.51,6.75,6.42,7.64,7.85
97,4.7,5.27,3.96,4.35,3.89,5.31,4.22,4.18,3.55,4.75
98,1.24,4.45,3.35,1.43,2.27,2.03,1.7,1.24,1.84,2.03
99,2.37,1.68,2.02,2.49,1.23,3.19,2.1,2.37,2.11,2.92
100,2.59,1.22,3.37,1.86,3.11,1.67,3.36,1.22,2.0,1.67
101,4.57,4.8,3.52,4.02,3.99,3.98,4.54,4.5,3.77,4.2
102,1.4,1.22,1.22,1.65,1.22,1.22,1.97,1.65,1.4,1.22
103,1.21,1.21,1.64,1.21,3.11,1.64,1.39,2.92,1.21,1.97
104,4.28,5.26,3.33,1.46,5.23,4.88,4.18,5.33,5.69,4.62
105,5.45,4.07,4.27,3.51,3.4,3.86,4.33,4.26,5.33,3.29
106,1.65,1.79,1.88,1.22,2.41,6.3,4.77,3.94,3.93,5.3
107,1.74,1.78,1.96,1.53,5.28,2.47,2.52,2.1,1.78,2.35
108,1.62,2.63,4.54,1.21,2.34,1.63,1.39,3.05,1.62,3.29
109,2.21,2.52,1.62,1.62,5.49,5.92,1.93,1.62,1.38,2.08
110,1.85,3.43,1.19,1.61,1.61,2.68,1.43,1.76,2.41,1.61
111,4.52,3.32,1.95,2.46,3.21,2.43,1.18,1.37,4.75,4.12
112,3.31,2.76,2.75,1.96,2.61,2.76,2.32,3.12,1.38,3.31
113,1.19,5.35,1.19,4.25,1.97,2.18,3.86,2.86,1.19,2.67
114,2.49,1.81,1.95,5.32,1.76,1.2,1.39,1.44,1.2,2.72
115,1.62,3.14,2.18,2.28,2.64,2.64,3.08,1.86,2.18,2.64
116,1.2,1.38,2.62,1.2,1.62,2.08,2.38,1.95,1.38,1.38
117,2.84,2.17,1.52,2.26,1.19,2.61,1.19,4.01,1.72,2.84
118,1.84,1.19,1.37,1.51,2.24,1.51,1.83,1.51,2.02,2.07
119,1.82,1.5,1.18,2.58,1.18,1.18,2.38,1.37,1.74,1.94
120,1.18,1.73,2.14,1.82,1.82,1.18,1.6,2.78,1.18,2.06
121,1.59,1.42,1.18,1.36,2.31,1.18,2.79,1.49,2.94,1.91
122,6.89,6.85,6.89,6.87,6.87,6.87,6.95,6.91,6.9,6.82
123,1.47,1.75,1.58,1.57,2.3,1.17,1.17,2.11,2.75,2.87
124,2.29,1.57,2.0,1.16,4.42,4.42,2.41,1.16,1.97,2.34
125,6.89,6.8,6.89,6.23,6.43,6.79,6.8,6.8,6.8,6.86
126,3.13,1.16,3.38,3.64,1.87,2.52,3.92,2.28,3.13,3.92
127,6.79,6.86,6.78,6.84,6.79,6.79,6.79,6.8,6.87,6.83
128,2.54,1.88,1.17,1.88,2.52,1.97,1.17,1.17,1.17,1.17
129,1.9,1.18,1.18,1.59,2.22,2.12,1.18,1.18,2.12,1.58
130,1.17,2.3,2.46,3.4,1.17,2.09,2.38,1.59,4.31,1.17
131,2.17,1.71,1.59,2.1,2.54,1.97,2.09,1.89,1.18,1.36
132,6.65,6.52,6.23,5.72,6.77,6.31,5.54,6.3,6.28,6.48
133,4.33,4.08,5.35,3.78,5.08,3.88,5.15,4.69,3.74,3.78
134,4.4,2.64,2.75,3.83,1.19,1.19,4.06,3.28,3.88,1.59
135,1.73,2.16,5.32,2.07,1.35,6.19,2.59,6.38,6.64,6.64
136,7.13,6.9,7.07,6.88,7.1,7.11,7.02,6.88,6.57,6.57
137,6.39,6.49,5.52,6.9,6.49,7.1,6.65,6.72,6.99,7.1
138,1.42,1.68,2.35,1.23,1.86,1.68,2.26,1.23,2.24,1.23
139,6.47,4.88,6.02,5.48,4.89,6.31,4.63,4.59,4.71,4.55
140,6.89,7.14,6.91,6.78,6.54,6.65,6.83,7.09,6.91,7.14
141,6.96,6.52,6.56,6.93,6.63,6.81,6.75,6.75,6.95,6.61
142,6.86,6.99,6.51,6.86,6.81,6.69,6.93,6.33,7.07,6.71
143,6.49,6.95,6.87,6.83,6.83,6.85,7.06,6.85,6.65,6.85
144,7.01,6.82,7.02,7.0,6.85,6.85,6.85,6.72,6.72,6.46
145,7.07,6.8,6.98,6.81,6.91,6.92,6.09,6.54,7.05,7.05
146,7.04,7.01,6.82,6.54,7.04,6.99,7.0,6.77,7.02,6.86
147,5.33,5.83,6.9,4.99,5.82,6.15,6.97,6.99,6.84,6.88
148,6.79,6.13,6.41,7.03,6.93,6.65,6.57,6.48,6.9,6.9
149,7.06,6.96,6.78,7.07,7.07,7.03,7.02,7.06,6.78,6.5
150,6.5,7.65,6.88,7.28,7.47,7.44,7.18,7.48,7.51,7.49
151,7.78,7.54,7.49,7.1,7.78,7.65,7.0,7.06,7.83,7.85
152,7.58,7.42,6.9,7.85,7.92,7.94,7.76,7.3,7.54,7.92
153,6.78,7.98,8.0,7.55,7.88,7.69,7.97,7.81,7.91,7.83
154,6.85,7.63,7.95,7.97,8.01,7.95,7.91,7.98,7.9,7.97
155,7.14,6.41,7.77,6.85,7.64,7.98,7.07,7.74,6.47,6.78
156,7.78,8.08,7.07,6.58,7.71,7.37,7.34,8.05,7.92,7.09
157,7.58,6.65,7.88,8.05,7.89,7.78,7.91,7.91,7.92,7.78
158,4.99,5.32,5.81,6.15,4.84,5.64,4.86,5.18,6.35,5.92
159,5.33,1.67,5.38,2.27,2.27,4.86,1.67,2.27,5.38,5.33
160,1.5,1.84,3.17,2.17,2.29,2.29,1.5,2.29,1.84,1.5
161,6.69,6.01,3.87,5.44,4.41,3.61,4.07,5.12,4.14,3.71
162,1.25,1.25,1.25,2.48,2.48,1.67,2.25,2.5,2.11,4.87
163,2.25,4.94,2.7,2.01,1.43,1.69,1.25,2.87,1.25,1.43
164,3.83,3.92,3.83,6.01,5.65,4.03,3.68,3.75,3.56,6.03
165,3.66,3.24,3.94,4.04,3.92,5.91,4.18,4.07,6.4,5.41
